route_id, service_id, trip_id, trip_headsign, block_id, shape_id, direction_id
BNSF, A1, BNSF_BN1200_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1201_V1_A, Naperville, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1202_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1204_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1205_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1206_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1208_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1209_V1_A, Westmont, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1210_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1212_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1213_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1214_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1215_V1_A, Westmont, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1216_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1218_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1220_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1221_V1_A, Westmont, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1222_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1224_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1225_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1226_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1227_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1228_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1229_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1230_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1231_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1232_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1233_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1234_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1235_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1236_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1237_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1238_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1239_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1240_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1241_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1242_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1243_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1244_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1245_V1_A, Fairview Ave., , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1246_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1247_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1248_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1249_V1_A, Fairview Ave., , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1250_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1251_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1252_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1253_V1_A, Lisle, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1254_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1255_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1256_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1257_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1258_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1259_V1_A, Route 59, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1260_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1261_V1_A, Brookfield, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1262_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1263_V1_A, Route 59, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1264_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1265_V1_A, Fairview Ave., , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1266_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1267_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1268_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1269_V1_A, Route 59, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1270_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1271_V1_A, Aurora, , BNSF_OB_1,  0
BNSF, A1, BNSF_BN1272_V1_A, Chicago Union Station, , BNSF_IB_1,  1
BNSF, A1, BNSF_BN1273_V1_A, Aurora, , BNSF_OB_1,  0
